State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
AK,West,Pacific,Aleutians West Census Area,2016,02016,Insuff Data,1/1/2014,,0.122,2.1,2.1,,0.267,0.3,7.002,0.234,0.896,0.266,,290.7,21.1,0.355,91,50,99,,,,,0.466,0.091,0.087,,0.289,,322.06,,,0.03,0.221,0.272,0,5547,0.078,1,0.067,,181,,,0.17,0.075,,,0.374,0.25,3791,0.185,216,69192,0.127,,0.287
AK,West,Pacific,Aleutians West Census Area,2016,02016,Insuff Data,1/1/2015,,0.122,2.1,2.1,0.04,0.267,0.329,6.6,0.22,0.896,0.266,,288.4,21.6,0.293,36,73,163,,,,,0.474,0.088,0.076,3.907,0.289,9.014,317.35,47.2,,0.026,0.207,0.347,0,5511,0.08,1,0.065,,173.7,,,0.173,0.075,,,0.314,0.176,4837,0.185,254,74088,0.133,,
AK,West,Pacific,Anchorage Borough,2020,02020,Region 22,1/1/2014,6827,0.125,3.3,3,0.06,0.157,0.257,8.185,0.205,0.872,0.185,0.289,863.1,37.7,0.183,96,99,204,43.8,0.73,0.56,0.718,0.703,0.054,0.128,,0.319,,840.06,66,,0.326,0.169,0.754,0.148,298610,0.023,0.041,0.07,164.5,339.6,5.6,51.7,0.126,0.046,8.57,15.37,0.218,0.096,6588,0.119,135,71094,0.319,6.29,0.16
AK,West,Pacific,Anchorage Borough,2020,02020,Region 22,1/1/2015,6856,0.125,3.3,3,0.06,0.157,0.268,8,0.18,0.92,0.185,0.268,810.4,36.7,0.198,96,104,285,39.86,0.76,0.56,0.73,0.71,0.05,0.102,3.806,0.309,10.984,823.16,68.7,,0.153,0.168,0.751,0.148,300950,0.023,0.041,0.07,164.5,338.1,5.7,46.4,0.125,0.046,7.45,17.08,0.227,0.123,6582,0.119,148,76362,0.334,5.6,
AK,West,Pacific,Bethel Census Area,2050,02050,Insuff Data,1/1/2014,13345,0.211,3.3,2.6,0.05,0.299,0.315,3.21,0.283,0.957,0.171,1,2222.1,80.3,0.287,98,121,734,143.63,0.25,,0.408,0.4,0.152,0.351,,0.293,,,153.4,,0.185,0.626,0.262,0.027,17746,0.046,0.739,0.067,166.2,443.8,11.5,180.3,0.199,0.386,,,0.394,0.124,5860,0.2,169,41722,0.668,12.77,0.477
AK,West,Pacific,Bethel Census Area,2050,02050,Insuff Data,1/1/2015,12864,0.211,3.3,2.6,0.05,0.299,0.324,2.8,0.292,0.957,0.171,1,1865.2,81,0.296,90,118,974,133.57,,,0.442,0.387,0.154,0.308,4.539,0.29,5.635,,157.3,,0.138,0.624,0.255,0.021,17758,0.04,0.739,0.059,166.2,476.9,10.1,158.8,0.2,0.386,,,0.389,0.153,5317,0.2,175,42876,0.721,18.3,
AK,West,Pacific,Dillingham Census Area,2070,02070,Insuff Data,1/1/2014,9699,0.121,2.7,2.3,0.05,0.386,0.318,5.892,0.288,0.596,0.143,0.5,1507.5,55.3,0.299,201,138,334,,,,,0.515,0.096,0.288,,0.351,,,162.1,,0.571,0.323,0.361,0.014,5034,0.044,1,0.082,238.6,387.2,,,0.179,0.165,,,0.384,0.147,6082,0.152,119,47498,0.636,,0.305
AK,West,Pacific,Dillingham Census Area,2070,02070,Insuff Data,1/1/2015,15057,0.121,2.7,2.3,0.05,0.386,0.316,5.8,0.273,0.757,0.143,0.6,1211.8,57.6,0.29,179,140,539,,,,,0.503,0.095,0.286,5.023,0.316,5.959,,192.6,,0.427,0.332,0.376,0.021,5010,0.042,1,0.079,238.6,557.3,,,0.167,0.165,,,0.367,0.154,7204,0.152,120,47930,0.69,,
AK,West,Pacific,Fairbanks North Star Borough,2090,02090,Region 22,1/1/2014,5740,0.11,3.5,3,0.06,0.194,0.291,7.526,0.225,0.692,0.2,0.385,760.1,38.1,0.211,73,102,375,32.73,0.8,0.57,0.676,0.691,0.062,0.132,,0.322,,,63.4,,0.015,0.198,0.722,0.15,100272,0.008,0.309,0.061,69,298,5.2,43.4,0.131,0.1,11.68,12.29,0.251,0.115,6855,0.129,133,63979,0.161,4.92,0.168
AK,West,Pacific,Fairbanks North Star Borough,2090,02090,Region 22,1/1/2015,5862,0.11,3.5,3,0.06,0.194,0.285,7.3,0.202,0.711,0.2,0.349,591.4,37.5,0.211,70,112,507,29.53,0.76,0.6,0.663,0.698,0.058,0.112,3.939,0.308,10.671,,60.6,,0.304,0.211,0.729,0.153,100436,0.011,0.309,0.057,69,304.7,4,38.1,0.131,0.1,10.73,11.48,0.247,0.121,6378,0.129,130,67204,0.211,4.3,
