State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
AL,South,East South Central,Bullock County,1011,1011,Insuff Data,1/1/2015,10744.0,0.23,4.2,,0.14,0.378,0.432,3.8,0.328,0.234,,0.417,964.3,84.6,0.176,38.0,19.0,28.0,68.39,0.77,0.52,0.725,0.357,0.12,0.442,5.263,0.624,11.457,283.35,85.4,12.75,0.155,0.134,0.825,0.468,10639,0.037,0.514,0.176,409.1,498.5,,127.1,0.241,0.202,54.19,,0.232,0.041,9976.0,0.167,66.0,25937,0.86,,
AL,South,East South Central,Greene County,1063,1063,Region 16,1/1/2014,10935.0,0.271,5.1,5.3,0.16,0.181,0.479,3.021,0.365,0.016,,0.2,1636.6,52.7,0.177,34.0,11.0,11.0,116.21,0.84,0.53,0.675,0.376,0.114,0.482,,0.495,,1111.29,82.0,12.87,0.314,0.22,0.729,0.395,8876,0.001,1.0,0.194,242.8,487.3,,,0.3,0.21,33.49,,0.225,0.056,9236.0,0.164,11.0,24592,0.873,18.27,
AL,South,East South Central,Greene County,1063,1063,Region 16,1/1/2015,11968.0,0.271,5.1,5.3,0.16,0.181,0.481,2.9,0.329,0.163,,0.37,1295.6,51.3,0.16,34.0,11.0,11.0,102.21,0.87,0.6,0.625,0.386,0.101,0.505,4.692,0.536,9.013,1113.41,72.7,12.87,0.314,0.186,0.745,0.488,8744,0.001,1.0,0.188,242.8,530.9,,,0.275,0.21,28.07,,0.206,0.043,9557.0,0.164,23.0,25864,0.878,20.8,
AL,South,East South Central,Lowndes County,1085,1085,Region 16,1/1/2014,15671.0,0.358,4.8,4.2,0.14,0.226,0.438,2.636,0.36,0.12,0.163,0.394,1022.7,63.4,0.174,9.0,,,61.19,0.83,0.6,0.625,0.455,0.141,0.428,,0.574,,510.46,93.7,12.87,0.0,0.24,0.783,0.585,10857,0.002,1.0,0.193,536.2,632.8,,94.1,0.292,0.262,45.39,,0.222,0.057,9866.0,0.272,18.0,28544,0.908,22.7,0.35
AL,South,East South Central,Lowndes County,1085,1085,Region 16,1/1/2015,14513.0,0.358,4.8,4.2,0.14,0.226,0.437,2.8,0.321,0.058,0.163,0.529,1096.1,61.9,0.155,9.0,,,64.37,0.83,0.61,0.675,0.459,0.119,0.531,5.697,0.571,6.447,554.47,90.1,12.87,0.0,0.266,0.792,0.563,10703,0.002,1.0,0.216,536.2,645.3,,110.5,0.258,0.262,42.13,,0.2,0.043,9288.0,0.272,19.0,29734,0.935,23.4,
AL,South,East South Central,Wilcox County,1131,1131,Insuff Data,1/1/2015,14288.0,0.305,4.1,3.6,0.13,0.189,0.428,1.8,0.316,0.291,0.072,0.357,1495.9,49.6,0.18,35.0,18.0,9.0,64.57,0.81,0.55,0.775,0.34,0.156,0.501,6.767,0.674,8.748,215.54,105.8,12.94,0.103,0.173,0.837,0.285,11307,0.0,1.0,0.198,163.2,638.4,,,0.295,0.276,50.58,,0.234,0.057,8682.0,0.155,18.0,23184,0.964,14.8,
LA,South,West South Central,East Carroll Parish,22035,22035,Insuff Data,1/1/2015,12741.0,0.268,3.2,2.9,0.15,0.265,0.426,4.0,0.363,0.021,0.075,0.0,930.1,78.9,0.216,40.0,13.0,27.0,204.81,0.84,0.55,0.725,0.286,0.142,0.577,5.391,0.688,11.959,661.97,82.7,12.03,0.068,0.178,0.874,0.167,7529,0.002,0.346,0.169,661.3,583.6,,177.4,0.298,0.058,,,0.298,0.053,13536.0,0.336,66.0,26781,0.946,20.4,
MS,South,East South Central,Coahoma County,28027,28027,Region 16,1/1/2014,14788.0,0.243,4.9,4.3,0.18,0.233,0.474,2.958,0.371,0.735,0.121,0.105,1671.0,91.6,0.192,62.0,42.0,205.0,101.57,0.77,0.52,0.621,0.547,0.128,0.499,,0.729,,725.81,101.2,12.24,0.042,0.213,0.722,0.2,25709,0.004,0.32,0.157,747.9,671.2,19.6,108.1,0.328,0.162,30.56,7.9,0.256,0.065,11771.0,0.253,82.0,25662,0.911,27.92,0.325
MS,South,East South Central,Coahoma County,28027,28027,Region 16,1/1/2015,15292.0,0.243,4.9,4.3,0.18,0.233,0.441,2.7,0.394,0.723,0.121,0.171,1987.6,91.5,0.193,70.0,44.0,234.0,75.24,0.73,0.49,0.608,0.583,0.131,0.559,6.27,0.724,8.557,716.83,108.0,12.24,0.04,0.21,0.751,0.208,25182,0.003,0.32,0.162,747.9,675.8,14.4,105.2,0.308,0.162,25.94,7.03,0.26,0.061,11554.0,0.253,87.0,27500,0.957,33.7,
MS,South,East South Central,Holmes County,28051,28051,Region 16,1/1/2015,13393.0,0.238,4.6,4.1,0.16,0.267,0.45,1.9,0.329,0.274,0.091,0.2,1622.7,80.8,0.199,43.0,16.0,16.0,59.35,0.82,0.48,0.674,0.435,0.165,0.621,5.414,0.722,9.044,,95.8,12.34,0.0,0.239,0.781,0.369,18428,0.001,0.868,0.178,372.4,623.8,12.5,154.4,0.327,0.199,35.38,,0.269,0.063,11102.0,0.329,54.0,22674,0.956,19.2,
